Column Name,Coefficient,Axis,New Brand,Sub Category,Age,next_price,Price,CAGR
,,,Royal Salute by Chivas,Royal Salute,21,150.5,154.5,2.87
,,,Jura,Jura Prophecy,0,70.6,70.6,1.24
,,,Jura,Jura Elixir,12,62.2,53.7,2.48
,,,Fettercairn,Fettercairn,0,62.1,47,4.59
,,,Glen Elgin 12yr,Glen Elgin,12,53.7,55,2.01
,,,Dalmore,Dalmore Cigar,0,105.1,96.7,2.1
,,,Other,Other,0,67.2,65.8,0.53
,,,Glenfiddich,Glenfiddich The Original,0,115.5,115.5,18.92
,,,Other,Other,0,470.2,416.5,3.5
,,,Dalmore,Dalmore King Alexander III,0,235.1,208.2,9.89
,,,Glenmorangie,Glenmorangie,18,107.4,114.9,-5.43
,,,Jura,Jura,16,69.8,65.1,4.83
,,,Laphroaig,Laphroaig Triple Wood,0,64.5,62.4,0.83
,,,Royal Lochnagar,Royal Lochnagar,0,50.8,49.6,4.32
,,,Bowmore,Bowmore Legend,0,54.3,54.3,18.92
,,,Lagavulin,Lagavulin,21,174.7,167.9,19.51
,,,Bunnahabhain,Bunnahabhain Stiuireadair,0,51.5,51.5,18.92
,,,BenRiach,BenRiach Other,0,75.2,75.4,18.88
,,,Highland Park,Highland Park,18,147.8,147.8,3.2
,,,Tobermory,Tobermory,0,67.1,67.1,10.08
,,,Other,Other  Malt,0,123.6,120.9,0.83
,,,Aultmore,Aultmore,12,60.4,60.4,1.73
,,,Mortlach,Mortlach Rare Old,0,49.6,65.1,-9.05
,,,Bowmore,Bowmore Mission,16,92.7,92.7,18.92
,,,Remarkable Regional Malts,Timorous Beastie,0,54.6,26.66,41.42
,,,Wolfburn,Wolfburn Aurora,0,65.5,67.1,18.56
,,,Tomatin,Tomatin Five Virtues,0,64.4,31.44,41.42
,,,Tomatin,Tomatin,14,72.3,72.3,7.46
,,,GlenDronach,GlenDronach Peated,0,54.3,54.3,18.92
,,,Bunnahabhain,Bunnahabhain Moine,0,73.8,82.8,17.17
,,,Laphroaig,Laphroaig,18,178.9,201.5,12.55
,,,Dalmore,Dalmore Rare,0,201.5,201.5,0
,,,Aberfeldy,Aberfeldy,16,76.9,74.7,1.61
,,,Fettercairn,Fettercairn Fior,0,56.1,54.9,19.24
,,,Royal Brackla,Royal Brackla,12,62.2,56.4,1.83
,,,Cardhu,Cardhu Cask Reserve,0,71.3,68.5,0.79
,,,Glenfiddich,Glenfiddich Project XX,0,57.6,57.6,18.92
,,,The Macallan,The Macallan Amber,0,80.5,64.7,7.4
,,,Tomatin,Tomatin,18,87.3,87.3,7.46
,,,Tomatin,Tomatin Cask Strength,0,67.9,67.9,7.46
,,,Bowmore,Bowmore,18,107.4,114.9,1.16
,,,Bowmore,Bowmore ,25,400.4,401.7,0.53
,,,Bunnahabhain,Bunnahabhain Ceobanach,0,71.8,71.8,18.92
,,,Johnnie Walker,Johnnie Walker ,18,102.1,49.85,41.42
,,,Other,Other,0,134.4,127.6,2.96
,,,Wolfburn,Wolfburn Northland,0,61.7,67.1,17.65
,,,Aberfeldy,Aberfeldy,21,177.3,172,5.89
,,,Glenfiddich,Glenfiddich,14,53,51.7,2.14
,,,Jura,Jura Festival,0,117.9,119.6,18.71
,,,Bunnahabhain,Bunnahabhain,18,141.1,127,5.16
,,,Glenfiddich,Glenfiddich,21,181,181.4,3.62
,,,Balvenie,Balvenie,21,182.7,182.7,2.13
,,,Jura,Jura One and All,0,164.5,114.2,23.96
,,,Talisker,Talisker Dark Storm,0,80.3,67.2,21.48
,,,Highland Park,Highland Park Dark Origins,0,113.9,86.7,6.88
,,,Balvenie,Balvenie Single Barrel,12,67.9,67.9,3.44
,,,Dewar's,Dewar's Signature,0,335.8,293.6,2.77
,,,Johnnie Walker,Johnnie Walker Platinum,18,102.1,87.3,2.81
,,,Craigellachie,Craigellachie,0,64.4,63.1,3.37
,,,Darkness!,Darkness! Sherry Cask Speyside,0,80.5,80.5,0
,,,Cardhu,Cardhu,0,53.2,56.4,1.77
,,,The Macallan,The Macallan,10,94,67.2,13.62
,,,Highland Park,Highland Park,10,60.4,60.6,18.87
,,,Royal Lochnagar,Royal Lochnagar Selected Reserve,0,157.43,125.94,11.8
,,,The Singleton,The Singleton,15,45.39,36.31,11.8
,,,Johnnie Walker,Johnnie Walker Gold,18,43.26,34.61,-16.41
,,,Dalwhinnie,Dalwhinnie,12,36.71,29.38,-5.98
,,,Glen Garioch,Glen Garioch,0,40.63,32.5,-5.53
,,,BenRiach,BenRiach,0,26.9,21.52,18.22
,,,Talisker,Talisker Neist Point,0,96.56,77.25,11.8
,,,The Singleton,The Singleton 18yr,18,68.5,54.8,-1.65
,,,The Singleton,The Singleton Sunray,0,36.71,29.38,11.8
