,Performance,Potential,New Brand,Age,next_year,next_price,predicted
0,0.04805700289422758,0.367885116225921,Laphroaig,10.0,2018.0,52.3,50.639259296369744
1,0.04842085432308792,0.358092939742843,Talisker,0.0,2018.0,58.4,49.81948918598096
2,0.06338835145567746,0.358092939742843,Cardhu,0.0,2018.0,53.7,55.554356257015144
3,0.048602897002516604,0.358092939742843,Laphroaig,0.0,2018.0,41.6,49.889239696208875
4,0.06135999515049968,0.358092939742843,Dalwhinnie,0.0,2018.0,53.7,54.7771819784431
5,0.09748110914354056,0.38523267626269236,Lagavulin,16.0,2018.0,73.8,71.27559905538821
6,0.055118368889048336,0.358092939742843,The Macallan,0.0,2018.0,53.7,52.38567345767503
7,0.05899511997181915,0.39952745921429855,Glenfiddich,15.0,2018.0,52.3,57.92974009836632
8,0.04973154171728346,0.358092939742843,Other,0.0,2018.0,59.0,50.32168523506936
9,0.06011811963941552,0.3528187474497564,Balblair,0.0,2018.0,53.7,53.78472401528596
10,0.07318959431009636,0.367885116225921,Ardbeg,10.0,2018.0,53.3,60.26893015460497
11,0.09519755949282846,0.3730009754871282,Oban,14.0,2018.0,64.7,69.20250391393952
12,0.08187201645281594,0.40476667661908006,Bunnahabhain,12.0,2018.0,59.0,67.20833239174421
13,0.06464183892776078,0.37278120446746005,Dalwhinnie,15.0,2018.0,52.7,57.47340814110895
14,0.06687997114057304,0.358092939742843,Talisker,0.0,2018.0,47.0,56.89218679652083
15,0.05485568542678537,0.358092939742843,Johnnie Walker,0.0,2018.0,55.7,52.2850250524784
16,0.24671070047157634,0.5599654430579568,Rare Malts,0.0,2018.0,161.2,145.56936963221722
17,0.12950790631150003,0.3737604221157678,Scapa,16.0,2018.0,80.5,82.42306574170492
18,0.0704652973687476,0.3698435515225367,Dalmore,12.0,2018.0,56.1,59.416939239962005
19,0.07257301661262305,0.358092939742843,Bruichladdich,0.0,2018.0,56.1,59.07350400253138
20,0.07215991306022748,0.39107234256244444,Highland Park,0.0,2018.0,53.7,62.14568129405387
21,0.016143846302392295,0.358092939742843,The Glenlivet,0.0,2018.0,60.5,37.4524014299726
22,0.058027593543745565,0.358092939742843,Johnnie Walker,0.0,2018.0,57.6,53.50035659709888
23,0.07414794233498943,0.32922943610734834,Balvenie,14.0,2018.0,69.8,56.84965256671322
24,0.06559713194553986,0.358092939742843,Haig,0.0,2018.0,53.7,56.400660913369514
25,0.021489350922138273,0.358092939742843,Glenkinchie,0.0,2018.0,52.1,39.50055672063168
26,0.3157322946378036,0.5599654430579568,Johnnie Walker,0.0,2018.0,181.0,172.01531875924417
27,0.03247272963900136,0.37739893507622996,Lagavulin,8.0,2018.0,68.5,45.59998684374616
28,0.8065908051658084,0.9631037265871674,The Macallan,21.0,2018.0,502.5,399.5790223110505
29,0.08270706409404982,0.3848391944896815,Glenfiddich,0.0,2018.0,60.3,65.57631099800074
30,0.106152663992571,0.37278120446746005,Dalmore,15.0,2018.0,83.0,73.37847641712426
31,0.09014881952244794,0.34085518034661383,Caol Ila,12.0,2018.0,56.5,64.11925062472163
32,0.007950246215320478,0.358092939742843,Glenallachie,0.0,2018.0,52.3,34.31298493780359
